cellI,x,y,z,V,Ux,Uy,Uz
28864,7.00331,0.59375,0.005,2.14057e-06,3.69652,-0.00232306,0
28865,7.02043,0.59375,0.005,2.13813e-06,3.69672,-0.00232202,0
28866,7.03752,0.59375,0.005,2.13568e-06,3.69693,-0.00232099,0
28867,7.0546,0.59375,0.005,2.13324e-06,3.69713,-0.00231996,0
28868,7.07166,0.59375,0.005,2.1308e-06,3.69734,-0.00231893,0
28869,7.08869,0.59375,0.005,2.12837e-06,3.69754,-0.0023179,0
28870,7.10571,0.59375,0.005,2.12593e-06,3.69774,-0.00231688,0
28871,7.12271,0.59375,0.005,2.1235e-06,3.69795,-0.00231585,0
28872,7.13969,0.59375,0.005,2.12107e-06,3.69815,-0.00231483,0
28873,7.15664,0.59375,0.005,2.11865e-06,3.69835,-0.00231382,0
28874,7.17358,0.59375,0.005,2.11623e-06,3.69855,-0.0023128,0
28875,7.1905,0.59375,0.005,2.11381e-06,3.69875,-0.00231179,0
28876,7.2074,0.59375,0.005,2.11139e-06,3.69895,-0.00231078,0
28877,7.22429,0.59375,0.005,2.10898e-06,3.69915,-0.00230978,0
28878,7.24115,0.59375,0.005,2.10657e-06,3.69936,-0.00230878,0
28879,7.25799,0.59375,0.005,2.10416e-06,3.69956,-0.0023078,0
28880,7.27481,0.59375,0.005,2.10175e-06,3.69976,-0.00230681,0
28881,7.29162,0.59375,0.005,2.09935e-06,3.69995,-0.00230583,0
28882,7.3084,0.59375,0.005,2.09695e-06,3.70015,-0.00230485,0
28883,7.32517,0.59375,0.005,2.09456e-06,3.70035,-0.00230388,0
28884,7.34192,0.59375,0.005,2.09216e-06,3.70055,-0.00230291,0
28885,7.35865,0.59375,0.005,2.08977e-06,3.70075,-0.00230195,0
28886,7.37535,0.59375,0.005,2.08738e-06,3.70095,-0.00230099,0
28887,7.39204,0.59375,0.005,2.08499e-06,3.70114,-0.00230003,0
28888,7.40871,0.59375,0.005,2.08261e-06,3.70134,-0.00229908,0
28889,7.42537,0.59375,0.005,2.08023e-06,3.70154,-0.00229814,0
28890,7.442,0.59375,0.005,2.07785e-06,3.70174,-0.0022972,0
28891,7.45861,0.59375,0.005,2.07548e-06,3.70193,-0.00229626,0
28892,7.47521,0.59375,0.005,2.0731e-06,3.70213,-0.00229532,0
28893,7.49178,0.59375,0.005,2.07073e-06,3.70232,-0.00229439,0
28894,7.50834,0.59375,0.005,2.06837e-06,3.70252,-0.00229347,0
28895,7.52487,0.59375,0.005,2.066e-06,3.70271,-0.00229255,0
28896,7.54139,0.59375,0.005,2.06364e-06,3.70291,-0.00229163,0
28897,7.55789,0.59375,0.005,2.06128e-06,3.7031,-0.00229072,0
28898,7.57437,0.59375,0.005,2.05893e-06,3.7033,-0.00228981,0
28899,7.59084,0.59375,0.005,2.05657e-06,3.70349,-0.0022889,0
28900,7.60728,0.59375,0.005,2.05422e-06,3.70368,-0.002288,0
28901,7.6237,0.59375,0.005,2.05187e-06,3.70388,-0.00228711,0
28902,7.64011,0.59375,0.005,2.04953e-06,3.70407,-0.00228621,0
28903,7.6565,0.59375,0.005,2.04718e-06,3.70426,-0.00228533,0
28904,7.67286,0.59375,0.005,2.04484e-06,3.70445,-0.00228444,0
28905,7.68921,0.59375,0.005,2.04251e-06,3.70465,-0.00228356,0
28906,7.70554,0.59375,0.005,2.04017e-06,3.70484,-0.00228269,0
28907,7.72186,0.59375,0.005,2.03784e-06,3.70503,-0.00228181,0
28908,7.73815,0.59375,0.005,2.03551e-06,3.70522,-0.00228095,0
28909,7.75442,0.59375,0.005,2.03318e-06,3.70541,-0.00228009,0
28910,7.77068,0.59375,0.005,2.03086e-06,3.7056,-0.00227923,0
28911,7.78692,0.59375,0.005,2.02854e-06,3.70579,-0.00227837,0
28912,7.80314,0.59375,0.005,2.02622e-06,3.70598,-0.00227753,0
28913,7.81934,0.59375,0.005,2.0239e-06,3.70617,-0.00227668,0
28914,7.83552,0.59375,0.005,2.02159e-06,3.70636,-0.00227585,0
28915,7.85168,0.59375,0.005,2.01928e-06,3.70655,-0.00227501,0
28916,7.86783,0.59375,0.005,2.01697e-06,3.70674,-0.00227419,0
28917,7.88395,0.59375,0.005,2.01466e-06,3.70692,-0.00227337,0
28918,7.90006,0.59375,0.005,2.01236e-06,3.70711,-0.00227255,0
28919,7.91615,0.59375,0.005,2.01006e-06,3.7073,-0.00227174,0
28920,7.93222,0.59375,0.005,2.00776e-06,3.70749,-0.00227094,0
28921,7.94828,0.59375,0.005,2.00547e-06,3.70767,-0.00227014,0
28922,7.96431,0.59375,0.005,2.00317e-06,3.70786,-0.00226935,0
28923,7.98033,0.59375,0.005,2.00088e-06,3.70805,-0.00226856,0
