cellI,x,y,z,V,Ux,Uy,Uz
0,0.0125603,0.00625,0.005,3.14008e-06,3.59259,0.00261157,0
1,0.0376666,0.00625,0.005,3.13649e-06,3.58427,0.00388826,0
2,0.0627442,0.00625,0.005,3.13291e-06,3.57292,0.00472669,0
3,0.0877932,0.00625,0.005,3.12933e-06,3.5597,0.0054734,0
4,0.112813,0.00625,0.005,3.12575e-06,3.54549,0.00611609,0
5,0.137805,0.00625,0.005,3.12218e-06,3.5306,0.00663894,0
6,0.162768,0.00625,0.005,3.11861e-06,3.51517,0.00705344,0
7,0.187703,0.00625,0.005,3.11504e-06,3.49934,0.00737503,0
8,0.212609,0.00625,0.005,3.11148e-06,3.48326,0.00761538,0
9,0.237487,0.00625,0.005,3.10792e-06,3.46704,0.00778519,0
10,0.262336,0.00625,0.005,3.10437e-06,3.45076,0.00789408,0
11,0.287156,0.00625,0.005,3.10082e-06,3.4345,0.00794975,0
12,0.311949,0.00625,0.005,3.09728e-06,3.41833,0.00795997,0
13,0.336713,0.00625,0.005,3.09374e-06,3.40228,0.00793181,0
14,0.361449,0.00625,0.005,3.0902e-06,3.38639,0.00787162,0
15,0.386156,0.00625,0.005,3.08667e-06,3.3707,0.00778497,0
16,0.410835,0.00625,0.005,3.08314e-06,3.35522,0.00767689,0
17,0.435486,0.00625,0.005,3.07961e-06,3.33997,0.0075518,0
18,0.460109,0.00625,0.005,3.07609e-06,3.32497,0.00741344,0
19,0.484704,0.00625,0.005,3.07258e-06,3.31023,0.00726496,0
20,0.50927,0.00625,0.005,3.06906e-06,3.29574,0.00710901,0
21,0.533809,0.00625,0.005,3.06556e-06,3.28152,0.00694782,0
22,0.558319,0.00625,0.005,3.06205e-06,3.26756,0.00678314,0
23,0.582802,0.00625,0.005,3.05855e-06,3.25387,0.00661635,0
24,0.607256,0.00625,0.005,3.05505e-06,3.24044,0.00644865,0
25,0.631683,0.00625,0.005,3.05156e-06,3.22728,0.00628105,0
26,0.656081,0.00625,0.005,3.04807e-06,3.21437,0.00611435,0
27,0.680452,0.00625,0.005,3.04459e-06,3.20172,0.00594919,0
28,0.704795,0.00625,0.005,3.04111e-06,3.18932,0.00578604,0
29,0.72911,0.00625,0.005,3.03763e-06,3.17717,0.00562529,0
30,0.753397,0.00625,0.005,3.03416e-06,3.16527,0.00546722,0
31,0.777656,0.00625,0.005,3.03069e-06,3.15361,0.00531199,0
32,0.801888,0.00625,0.005,3.02723e-06,3.14218,0.00515971,0
33,0.826092,0.00625,0.005,3.02377e-06,3.131,0.00501047,0
34,0.850268,0.00625,0.005,3.02031e-06,3.12004,0.0048643,0
35,0.874417,0.00625,0.005,3.01686e-06,3.10931,0.00472128,0
36,0.898538,0.00625,0.005,3.01341e-06,3.09881,0.00458155,0
37,0.922631,0.00625,0.005,3.00996e-06,3.08852,0.00444586,0
38,0.946697,0.00625,0.005,3.00652e-06,3.07845,0.00431735,0
39,0.970736,0.00625,0.005,3.00309e-06,3.06859,0.00419729,0
40,0.994747,0.00625,0.005,2.99965e-06,3.05894,0.00408329,0
41,1.01873,0.00625,0.005,2.99622e-06,3.0495,0.00397344,0
42,1.04269,0.00625,0.005,2.9928e-06,3.04025,0.00386708,0
43,1.06662,0.00625,0.005,2.98938e-06,3.03119,0.00376404,0
44,1.09052,0.00625,0.005,2.98596e-06,3.02232,0.00366419,0
45,1.11439,0.00625,0.005,2.98255e-06,3.01364,0.00356746,0
46,1.13824,0.00625,0.005,2.97914e-06,3.00513,0.00347375,0
47,1.16206,0.00625,0.005,2.97573e-06,2.9968,0.00338292,0
48,1.18585,0.00625,0.005,2.97233e-06,2.98864,0.00329487,0
49,1.20961,0.00625,0.005,2.96893e-06,2.98064,0.00320911,0
50,1.23335,0.00625,0.005,2.96554e-06,2.9728,0.00312509,0
51,1.25706,0.00625,0.005,2.96215e-06,2.96513,0.00304279,0
52,1.28075,0.00625,0.005,2.95876e-06,2.95761,0.00296235,0
53,1.3044,0.00625,0.005,2.95538e-06,2.95024,0.0028839,0
54,1.32803,0.00625,0.005,2.952e-06,2.94302,0.00280752,0
55,1.35163,0.00625,0.005,2.94863e-06,2.93594,0.00273325,0
56,1.37521,0.00625,0.005,2.94526e-06,2.92901,0.00266109,0
57,1.39876,0.00625,0.005,2.94189e-06,2.92222,0.002591,0
58,1.42228,0.00625,0.005,2.93853e-06,2.91556,0.00252295,0
59,1.44578,0.00625,0.005,2.93517e-06,2.90903,0.0024569,0
60,1.46924,0.00625,0.005,2.93181e-06,2.90264,0.0023928,0
61,1.49268,0.00625,0.005,2.92846e-06,2.89637,0.00233054,0
62,1.5161,0.00625,0.005,2.92511e-06,2.89022,0.00227005,0
63,1.53949,0.00625,0.005,2.92177e-06,2.8842,0.00221135,0
64,1.56285,0.00625,0.005,2.91843e-06,2.87829,0.00215449,0
65,1.58618,0.00625,0.005,2.91509e-06,2.8725,0.00209939,0
66,1.60949,0.00625,0.005,2.91176e-06,2.86683,0.002046,0
67,1.63277,0.00625,0.005,2.90843e-06,2.86127,0.00199425,0
68,1.65602,0.00625,0.005,2.90511e-06,2.85581,0.0019441,0
69,1.67925,0.00625,0.005,2.90179e-06,2.85046,0.00189551,0
70,1.70245,0.00625,0.005,2.89847e-06,2.84522,0.00184845,0
71,1.72563,0.00625,0.005,2.89516e-06,2.84008,0.00180284,0
72,1.74877,0.00625,0.005,2.89185e-06,2.83504,0.00175865,0
73,1.7719,0.00625,0.005,2.88854e-06,2.83009,0.00171582,0
74,1.79499,0.00625,0.005,2.88524e-06,2.82524,0.00167428,0
75,1.81806,0.00625,0.005,2.88194e-06,2.82049,0.00163397,0
76,1.8411,0.00625,0.005,2.87864e-06,2.81582,0.00159486,0
77,1.86412,0.00625,0.005,2.87535e-06,2.81125,0.00155691,0
78,1.88711,0.00625,0.005,2.87207e-06,2.80676,0.00152009,0
79,1.91007,0.00625,0.005,2.86878e-06,2.80236,0.00148436,0
80,1.93301,0.00625,0.005,2.8655e-06,2.79804,0.00144967,0
81,1.95592,0.00625,0.005,2.86223e-06,2.7938,0.001416,0
82,1.9788,0.00625,0.005,2.85896e-06,2.78964,0.00138332,0
83,2.00166,0.00625,0.005,2.85569e-06,2.78556,0.0013516,0
84,2.0245,0.00625,0.005,2.85242e-06,2.78155,0.00132081,0
85,2.0473,0.00625,0.005,2.84916e-06,2.77762,0.00129092,0
86,2.07008,0.00625,0.005,2.84591e-06,2.77377,0.00126192,0
87,2.09284,0.00625,0.005,2.84265e-06,2.76998,0.00123377,0
88,2.11556,0.00625,0.005,2.8394e-06,2.76626,0.00120646,0
89,2.13827,0.00625,0.005,2.83616e-06,2.76261,0.00117995,0
90,2.16094,0.00625,0.005,2.83292e-06,2.75902,0.00115422,0
91,2.18359,0.00625,0.005,2.82968e-06,2.7555,0.00112925,0
